LINE,STATION,IN_WEEKDAY,IN_FRI,IN_SAT,IN_SUN,OUT_WEEKDAY,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Stepney Green,6604.315789,6913.777778,4832.125,3428.5,6521.842105,6464.111111,4469,3374.5,2707640.963
LU,Stockwell,10931.3,11598.66667,10690.55556,7424.909091,9920.35,10144.11111,9445.222222,7026.545455,4614856.082
LU,Stonebridge Park,3162.111111,3149.777778,2053.142857,1321.5,3036.333333,2932,1914.428571,1310.375,1237626.566
LU,Stratford,62497.47368,67115.27273,71770,48381.25,63635.84211,68762.81818,72425.8,48352.25,29106619.05
LU,Sudbury Hill,2188.95,2172.142857,1563.5,969,2210.6,2157.428571,1477.75,996.6666667,889528.5859
LU,Sudbury Town,2118.45,2114.3,1616.5,1082.1,1936.55,1867,1402.1,1001.9,835671.1726
LU,Swiss Cottage,7381.85,7281.9,5611.636364,3780.8,7189.7,6885.2,5302.545455,3727.2,3001198.252
LU,Temple,7594.631579,6734.75,4320,2452.125,8345.842105,8160.25,4863.888889,2693.125,3070900.049
LU,Theydon Bois,1011.9,1024.333333,929.9,526,974.95,947.6666667,896.8,565.5,423966.75
LU,Tooting Bec,8730.6,8829.8,7923.909091,5014.111111,8215.5,7756.5,6914.454545,5102.666667,3610528.578
LU,Tooting Broadway,16094.35,17007.9,14568.6,9305.444444,16123.5,16105.3,13551.3,9294.444444,6892543.892
LU,Tottenham Court Road,34315.65,35647.66667,44162.66667,24047.1,34647.15,38423.33333,43807.22222,23633.6,16036230.85
LU,Tottenham Hale LU,16153.1,16933.9,15214.44444,13330.5,15703.95,16545.5,14188.66667,11801.1,7115066.403
LU,Totteridge & Whetstone,2607,2569.714286,2102,1310.636364,2528.3,2462.285714,1954.363636,1303.272727,1064853.27
LU,Tower Hill,15551.7,16468,18125.4,12759,15810.75,17700.88889,19407.9,11993.66667,7328487.85
